net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg,rho_even,rho_odd,q_odd_over_even,radius_parity_separation
356,121,5,1,0.14848902828802937,0.058153333791925436,4.407295287351712,0.765742050715226,0.20565822312997606,0.6330240891241963,-43.873787465409514,4.345960351369682,4.468630223333741,1.0282261829483554,0.02783336807862722
358,122,1,1,0.11971342853859245,0.05014497387114519,4.301768806003754,-0.3272062037546168,0.17968873435019006,0.6316495444662291,18.747534589281496,4.2432460541103305,4.3602915578971775,1.027583953957482,0.0272086922996635
362,123,1,1,0.14420870179439105,0.05281909164287363,4.325146014122896,-1.6829569850422577,0.22326863065537464,0.6929278326899824,96.42633272770021,4.320745486665468,4.329546541580322,1.0020369297247465,0.0020348572940925213
363,124,5,1,0.1969387406505556,0.07255147313398697,4.280078740199858,-2.5582622651580142,0.38235942144623525,0.8766895437416828,146.5776283278371,4.367893511388738,4.192263969010978,0.9597907911628734,0.0410341848920189
366,125,11,1,0.15161431966741154,0.06247988005437695,4.477747276177605,2.4478624434498197,0.2107642913851478,0.5987870191208087,-140.25218668578935,4.498693063151124,4.456801489204087,0.9906880568736347,0.00935550207799971
367,126,5,1,0.16504037956341525,0.059688095134507416,4.340662624257045,-1.9621143879129963,0.2648751607664604,0.652065953455711,112.42087424422992,4.358053329994678,4.323271918519413,0.9920190486803181,0.00801292670867697
368,127,5,1,0.17920596797805893,0.06306995125308618,4.293563708066285,0.5512124219897051,0.28508763920821106,0.7756221205348551,-31.58214587593178,4.251867848315782,4.335259567816789,1.019612961285718,0.019422494964809675
370,128,7,1,0.1299844079253005,0.057710634928467966,4.36311512844243,1.1496821161577326,0.2033845656456491,0.6732961502293033,-65.87193272900565,4.303178961616619,4.42305129526824,1.027856692626743,0.02747402489340539
372,129,1,1,0.10013311857716449,0.030378396492377807,4.350221289564476,1.750835323904956,0.16623404130697383,0.5569002791570147,-100.31547472179223,4.356985187168809,4.3434573919601425,0.9968951477621485,0.003109679785972704
375,130,11,1,0.1055063571363983,0.05654304617378036,4.367591855503336,-1.0396527076004922,0.19449519146888639,0.5292381148816678,59.567711970845835,4.455761166412901,4.279422544593769,0.9604245794975825,0.04037433616809662
376,131,7,1,0.12140585060190856,0.034732065844679236,4.358381943219032,-2.0189825222299564,0.20178500881374603,0.4913060411814595,115.67917773774829,4.369552697883367,4.347211188554698,0.9948870031160189,0.0051261017551316014
377,132,7,1,0.1686592667511758,0.06961310426929332,4.387301180187092,0.36318619152834536,0.29831459467496824,0.7581066733622974,-20.809036870258282,4.40314233271259,4.371460027661594,0.9928046148280022,0.007221365424847571
379,133,5,1,0.14182347208403695,0.07158392316692011,4.31121058490647,1.811970669330015,0.22748652397616942,0.6417973949000275,-103.81827231492484,4.306926960854026,4.315494208958914,1.0019891788699358,0.001987202419404391
383,134,1,1,0.10829801710743688,0.07643216787646964,4.44954930932886,2.6526123819150986,0.19400880054457084,0.7603890064736143,-151.98349427913183,4.393817441360565,4.505281177297154,1.0253683129588729,0.025050567639040525
384,135,7,1,0.09388501468311318,0.05840518848044892,4.389783552084694,0.5801748477304164,0.18145526398957265,0.5802412767992092,-33.241570348163286,4.536503662732461,4.243063441436926,0.9353157755153697,0.06684617084507058
385,136,7,1,0.12696611200533683,0.06654864518862887,4.524209359783907,2.975084253885206,0.2098380342111118,0.5938275630135526,-170.45977130184343,4.506671660203417,4.541747059364395,1.0077829941485896,0.00775282405645643
386,137,1,1,0.1282424208608583,0.04741420815274164,4.393341074335785,-2.155166808905595,0.21079457334013596,0.62072901790555,123.48196263610794,4.37687771626654,4.40980443240503,1.0075228777848007,0.007494686977716294
387,138,5,1,0.10705668081457663,0.05417834783541539,4.402695105592721,-0.9552491190615302,0.2046463583097124,0.44717477466712546,54.73174252958846,4.4969799580255785,4.308410253159863,0.9580674793693081,0.04283051638669601
388,139,11,1,0.1373907270361159,0.056358373253243735,4.410930849620474,2.2336443186891386,0.2646089986449643,0.6674741391826715,-127.97839320482983,4.440158508675187,4.381703190565761,0.9868348578107706,0.01325237690236178
393,140,7,1,0.20672865670560267,0.055378307356637874,4.388751072425082,-2.2614899555940213,0.29887765956179924,0.8813159175330859,129.57383071368025,4.364957345879415,4.412544798970749,1.0109021576433632,0.010843051315972244
395,141,11,1,0.21584682089740126,0.08093633868721045,4.433030772951246,0.7459486466276122,0.2939856292137517,0.9703947482460761,-42.73971006460587,4.452717685759056,4.413343860143435,0.9911573496470373,0.008881920210404477
398,142,11,1,0.16819538038327483,0.04401688048071709,4.492857433673812,-0.4719385442104921,0.2879910493063261,0.666327396185071,27.040088013240815,4.470780031493702,4.514934835853922,1.0098763088430158,0.00982777775882254
399,143,1,1,0.11007158302287791,0.043168107181698286,4.3475637602674295,-1.5118125576865336,0.1491206066713848,0.6856049032604101,86.62047897089137,4.291566164517018,4.403561356017842,1.0260965780807034,0.025760448305405498
402,144,7,1,0.22584070125788777,0.09248675206382102,4.286514638071165,-2.407924486511738,0.2594318733297228,1.0977157261439976,137.96391023874034,4.2568630116926105,4.31616626444972,1.01393121004698,0.013834842002031392
403,145,1,1,0.1685820600127462,0.061525196056556576,4.464117298910213,-1.054562843810107,0.3125286160268041,0.7440518394258767,60.42199898723068,4.471429693901697,4.456804903918729,0.9967292810165587,0.0032760765463169354
405,146,11,1,0.12660876676574917,0.03194207945542664,4.264997063046393,-0.8068194023405707,0.1629247943526503,0.5527968358740989,46.2273465687644,4.268466777582953,4.261527348509834,0.9983742572134887,0.0016270653814147564
406,147,1,1,0.1337794427892769,0.04573121347432484,4.402918958515571,2.1998887069859583,0.2264191769850294,0.5969615787741682,-126.04433870420701,4.423530159666009,4.3823077573651315,0.9906811074384108,0.009362516705230334
408,148,7,1,0.21371003287151746,0.09195846900019079,4.39851602132941,-2.30653051419076,0.33226585208394427,0.8907326804446516,132.15446320479205,4.349330867705334,4.447701174953484,1.0226173428144014,0.022364430815104357
410,149,1,1,0.24977914472721433,0.09356359013119316,4.353548939555812,2.7345598715123205,0.44172937627080283,0.9456319077168904,-156.6787353564065,4.45203317314356,4.255064705968064,0.9557576371255075,0.04524319581798295
414,150,7,1,0.44725239348584606,0.11685629190022166,4.383708655360487,-0.9483998614566139,0.4915914723524237,1.970688090049896,54.33931092819053,4.393555603297824,4.373861707423152,0.9955175494171759,0.004492519330770377
418,151,1,1,0.4097127492917844,0.10648482021967695,4.349456442084595,-2.985353258618834,0.7551519116733848,1.4505298207656123,171.04812482862576,4.331005475121164,4.367907409048026,1.0085204080527814,0.00848426335985471
421,152,7,1,0.17002296655679955,0.06524517664702456,4.278283153480824,-1.1968072782986003,0.2929486710340672,0.6752611199758509,68.57200460236285,4.32165140315928,4.234914903802367,0.9799297788587238,0.020273669657966474
422,153,1,1,0.1207072239382539,0.047432450600630116,4.314171854394993,1.405728164516395,0.1844705081441103,0.4802618949677423,-80.54229076377258,4.307322726002499,4.321020982787488,1.0031802253177582,0.0031751764295234815
424,154,5,1,0.1591636153174741,0.0483478589933251,4.3375557383478025,2.89574263029296,0.2485995343444544,0.6400222637712584,-165.91383073013648,4.320109972091249,4.355001504604355,1.0080765380368817,0.008044053982899795
426,155,11,1,0.12013021749849846,0.054431867580820366,4.384279726104796,-0.8938713542324985,0.1646820012385046,0.48381293144371273,51.215056015497005,4.409579006926854,4.3589804452827385,0.9885253078435308,0.011540906330141786
428,156,7,1,0.10535261384369865,0.06044923628471081,4.3176978112642805,-0.01837446614506195,0.16327141262724718,0.6546224717535037,1.052779313741138,4.321092549075225,4.314303073453336,0.9984287594989506,0.0015724758699362882
437,157,5,1,0.15293123625782162,0.06055195192636453,4.348898563415749,-0.4869872292833579,0.2676675729827496,0.5910846560551899,27.902313423781692,4.409811058978221,4.287986067853279,0.9723741018615955,0.0280128380435844
438,158,1,1,0.18234826283848735,0.043128344293014986,4.254160165432448,2.892198399430124,0.2793874432735883,0.686295734448587,-165.71076104376243,4.245510109519098,4.262810221345798,1.004074919475026,0.004066633872244192
439,159,11,1,0.2064048267355182,0.04825727492759985,4.195676528347533,1.6048110358215706,0.3022904623129308,0.8957034809629969,-91.94890032249704,4.272630920533536,4.118722136161528,0.9639779828319951,0.0366827097685304
440,160,1,1,0.22587563923346202,0.07316709907948434,4.366560370025236,-2.419210251670673,0.2839391101932845,0.9812649667186041,138.61053642972146,4.368704941358314,4.364415798692158,0.999018211867423,0.0009822703232502017
443,161,1,1,0.17642089898137536,0.05410822858027867,4.2604388190023466,2.709816774867223,0.3001455762293869,0.6874059147042462,-155.261063005355,4.299429276369437,4.221448361635255,0.9818624962241428,0.01830349361816266
448,162,5,1,0.27953222996963434,0.09052651992394062,4.283744911852901,-2.570523055448381,0.36814393601176765,1.1593069516176941,147.28012216145314,4.297398244136325,4.270091579569477,0.9936457682030966,0.0063744842722291695
449,163,11,1,0.21713767586265328,0.06262318770971292,4.404126528666039,-2.113746082894316,0.2987607273766208,0.9760933954574588,121.10873049576288,4.425514988481559,4.382738068850518,0.9903340244598926,0.009712917953789608
451,164,1,1,0.2581369988408814,0.1142261603133266,4.452025394134606,-2.9987581226957665,0.46263664228418133,0.9251259801097351,171.8161800995926,4.473575643084861,4.430475145184351,0.9903655372482337,0.009681098844874857
461,165,5,1,0.13021605935942618,0.05154640398138619,4.386541059710724,0.7706580635818288,0.21774821142485812,0.696401196316545,-44.15545441022058,4.2515506167684105,4.521531502653036,1.063501745650117,0.06154755699526721
463,166,1,1,0.09673290914884217,0.024864933040708758,4.398907299436974,-1.7606156585108585,0.14290253952298926,0.4190133478271163,100.87584665440643,4.360176885881294,4.437637712992656,1.0177655240002277,0.01760910649816974
