net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg
286,154,5,1,0.08070510506394808,0.08847382638296969,6.334522276919455,0.8335500481571149,0.1252575033257889,0.4157743876210566,-47.75889970453705
290,155,17,1,0.05435586570374234,0.05494823035741886,6.306300489915397,-0.7468080393840864,0.08726669571803171,0.24230473340479608,42.78894878345498
291,156,3,1,0.05568468629782607,0.0601899424197254,6.243189231523377,2.5459047297431177,0.08867360535941297,0.32674359072943515,-145.86959606190823
292,157,5,1,0.06013796502258906,0.04956989876703087,6.308473307823954,0.637642010455227,0.09577356592390049,0.3163881623414184,-36.534196073490875
294,158,19,1,0.0781241433697686,0.05679868506667712,6.209928909578237,-1.2013168836498347,0.1255936813692752,0.4249218719092756,68.83038718431212
295,159,3,1,0.05232310780518771,0.05056387200000001,6.16822056997652,-2.2738916352555125,0.080769623877908,0.2633373839977029,130.28439376255642
296,160,17,1,0.030330403527194263,0.04141662164883802,6.1933009984655545,-3.115170116339824,0.048240032020724376,0.15902625545577187,178.48610012594636
297,161,5,1,0.045903123551829246,0.04997685701596359,6.204968813633619,-0.7553529047348662,0.07144598253176833,0.24353906848395437,43.278533485208385
299,162,3,1,0.02838916532339392,0.03780662698538489,6.219435717483218,-2.336411405303266,0.050972271010317725,0.1603916001833491,133.86651273259548
301,163,19,1,0.05100151419479966,0.07668791139920526,6.308661688707716,-1.9163139511125866,0.08036107517640179,0.2795486345725421,109.79670164675802
303,164,7,1,0.038535148210518934,0.04813833449925734,6.2205090330710355,0.8409333494727377,0.06266493420457125,0.20592221143655853,-48.181931768265514
306,165,9,1,0.06673799615338041,0.08472386988916232,6.37235509208712,-1.197820352042888,0.10333658671027987,0.33252694150055095,68.63005073704787
308,166,19,1,0.05370626634251977,0.07286225019010374,6.246089551290104,1.519432178340434,0.09310852314248638,0.27622908119984885,-87.05705108744316
310,167,21,1,0.05018887303006911,0.035275232982698766,6.138241094174767,-3.131270080580093,0.072349156740729,0.25806555442888945,179.40856013835088
311,168,13,1,0.04814790080616924,0.06305571385454223,6.340187172650574,1.3373106422531915,0.0776208199057277,0.25838286068172023,-76.62225567990235
313,169,17,1,0.0786768590152866,0.07481679338083401,6.255088217549752,-1.2521821611635942,0.1294872524023917,0.43829675135523416,71.74475293235172
